PRECIO,DESCRIPCION,PRECIO
1,"978-02 (3,6,9,12 meses) ROSA MULTICOLOR",     15.99 
2,"986-11 (6,12,18,24,36 meses) BLANCO/MEZCLILLA",     23.99 
3,"950-29 (6,12,18,24,36 meses) BLANCO/MENTA",     17.99 
3,"986-12 (6,12,18,24,36 meses) AMARILLO/AZUL MARINO",     22.99 
4,"950-30 (6,12,18,24,36 meses) IVORY/AZUL MARINO",     19.99 
5,"986-03 (6,12,18,24,36 meses) AZUL/MULTICOLOR",     22.99 
5,"986-06 (6,12,18,24,36 meses) AZUL MARINO",       9.99 
5,"986-02 (6,12,18,24,36 meses) KAQUI",     13.99 
6,"986-07 (6,12,18,24,36 meses) ROJO MULTICOLOR",     18.99 
6,"986-02 (6,12,18,24,36 meses) KAQUI",     13.99 
7,"296-54 (1,2,3,3 a mas años) BLANCO/ESTAMPADO",       8.99 
7,"926-10 (1,2,3,4,6 años) ROSA",     15.99 
8,"926-05 (1,2,3,3 a mas años) FIUSHA",       8.99 
8,"926-11 (1,2,3,3 a mas años) AZUL INDIGO",     13.99 
9,"978-01 (1,2,3,3 a mas años) RAYAS MULTICOLOR",     16.99 
10,"243-23 (9 meses 1,2,3,3 a mas años) MARINO/BLANCO",     21.99 
11,"243-24 (9 meses 1,2,3,3 a mas años) CORAL",    22.99 
12,"110-19 (1,2,3,3 a mas años BLANCO/ROSA",     12.99 
12,"978-04 (1,2,3,3 a mas años NARANJA/BLANCO",     18.99 
13,"978-03 (1,2,3,3 a mas años MULTICOLOR",     22.99 
14,"986-05 (1,2,3,3 a mas años VERDE AQUA MULTICOLOR",     14.99 
14,"986-17 (1,2,3,3 a mas años ROJO",     13.99 
15,"978-05 (1,2,3,3 a mas años MULTICOLOR",     24.99 
15,"986-16 (1,2,3,3 a mas años IVORY/ESTAMPADO",     11.99 
16,"974-04 (1,2,3,3 a mas años VERDE MULTICOLOR",       9.99 
16,"885-04 (4,6,8,10,12,14 años) AZUL MEZCLILLA",     23.99 
17,"993-02 (4,6,8,10 años) ROSA",     16.99 
17,"885-07 (10,12,14 años) AZUL MEZCLILLA",     21.99 
18,"885-03 (4,6,8,10,12,14 años) AZUL MEZCLILLA",     21.99 
18,"993-03 (4,6,8,10 años) AZUL CIELO",     16.99 
20,"726-21 (4,6,8,10 años) BLANCO/ROSA",     10.99 
20,"926-04 (4,6,8,10 años) BLANCO",       8.99 
20,"926-10 (1,2,3,4,6 años) ROSA",     15.99 
20,"885-06 (4,6,8 años) AZUL MEZCLILLA",     20.99 
21,"885-03 (4,6,8,10,12,14 años) AZUL MEZCLILLA",     21.99 
21,"110-18 (4,6,8,10 años) ROSA",       9.99 
22,"737-09 (4,6,8,10 años) GRIS",     24.99 
23,"296-55 (4,6,8,10 años) IVORY/AZUL MARINO",     20.99 
24,"737-06 (4,6,8,10 años) RAYAS MULTICOLOR",     31.99 
25,"273-70 (4,6,8,10 años) IVORY",     25.99 
26,"737-07 (4,6,8,10 años) AZUL MARINO/BLANCO",     22.99 
26,"993-05 (4,6,8,10 años) ROSA MARINO",    18.99 
27,"974-06 (4,6,8,10 años) JADE MULTICOLOR",     11.99 
27,"986-15 (4,6,8,10 años) AZUL INDIGO",     13.99 
28,"986-01 (4,6,8,10 años) CUADROS MULTICOLOR",     20.99 
28,"986-15 (4,6,8,10 años) AZUL INDIGO",     13.99 
29,"986-09 (4,6,8,10 años) IVORY ESTAMPADO",   12.99 
29,"986-15 (4,6,8,10 años) AZUL INDIGO",     13.99 
30,"974-05 (4,6,8,10 años) GRIS/MARINO",    11.99 
30,"885-04 (4,6,8,10,12,14 años) AZUL MEZCLILLA",    23.99 
31,"885-06 (4,6,8 años) AZUL MEZCLILLA",   20.99 
31,"784-02 (4,6,8,10,12,14 años) AZUL INDIGO",     21.99 
31,"926-02 (4,6,8,10,12,14 años) ROSA",     11.99 
31,"926-03 (4,6,8,10,12,14 años) BLANCO",     11.99 
33,"737-10 (4,6,8,10,12,14 años) GRIS/NEON",     20.99 
33,"986-14 (4,6,8,10,12,14 años) BLANCO/ROSA NEON",     23.99 
34,"885-07 (10,12,14 años) AZUL MEZCLILLA",     21.99 
34,"737-08 (4,6,8,10,12,14 años) BICOLOR",     16.99 
35,"885-04 (4,6,8,10,12,14 años) AZUL MEZCLILLA",     23.99 
35,"926-06 (4,6,8 años) CUADROS MULTICOLOR",     22.99 
35,"926-07 (10,12,14 años) CUADROS MULTICOLOR",     24.99 
36,"885-04 (4,6,8,10,12,14 años) AZUL MEZCLILLA",     23.99 
36,"862-04 (4,6,8,10,12,14 años) AZUL/VERDE",     23.99 
37,"885-05 (4,6,8,10,12,14 años) KAQUI",     24.99 
37,"926-08 (4,6,8 años) AZUL MARINO",     22.99 
37,"926-09 (10,12,14 años) AZUL MARINO",     24.99 
38,"510-11 (4,6,8,10,12,14 años) RAYAS MULTICOLOR",     19.99 
39,"751-10 (10,12,14 años) CORAL/MULTICOLOR",     17.99 
39,"993-01 (10,12,14 años) BLANCO/AZUL MARINO",     21.99 
39,"993-04 (10,12,14 años) RAYAS MARINO/BLANCO",     19.99 
40,"784-02 (4,6,8,10,12,14 años) AZUL INDIGO",     21.99 
40,"251-81 (4,6,8,10,12,14 años) IVORY",     16.99 
40,"993-07 (10,12,14 años) BLANCO/AZUL ESTAMPADO",     14.99 
40,"993-08 (10,12,14 años) ROSA NEON",     14.99 
41,"251-80 (10,12,14 años) BLANCO",     18.99 
41,"169-61 (4,6,8,10,12,14 años) AZUL INDIGO",     21.99 
42,"885-03 (4,6,8,10,12,14 años) AZUL MEZCLILLA",     21.99 
42,"228-24 (10,12,14 años) MEZCLILLA ESTAMPADA",     24.99 
43,"986-13 (10,12,14 años) ROSA/BLANCO",     24.99 
44,"273-69 (10,12,14 años) NARANJA",     23.99 
46,"885-04 (4,6,8,10,12,14 años) AZUL MEZCLILLA",     23.99 
46,"986-15 (4,6,8,10 años) AZUL INDIGO",     13.99 
46,"885-05 (4,6,8,10,12,14 años) KAQUI",     24.99 
46,"974-07 (10,12,14 años) BLANCO",     11.99 
46,"974-08 (10,12,14 años) AZUL MARINO",     11.99 
46,"974-09 (10,12,14 años) ROJO",     11.99 
