PÁGINA,DESCRIPCION,PRECIO,CREDITO,CLAVE,CONTADO
1,"243-25 (6,12,18,24 y 36 months) Naranja Multicolor",25.99,38.99,9020990,23.99
1,"243-28 (6,12,18,24 y 36 months) Rosa Multicolor",25.99,38.99,9020990,23.99
2,"978-06 (6,12,18,24 y 36 months) Rojo/Azul Marino",25.99,38.99,9020990,23.99
3,"978-12 (6,12,18,24 y 36 months) Azul Marino/Rojo",31.99,47.99,9025990,29.99
4,"238-81 (1,2,3,4,6 y 8) Rosa Multicolor",15.99,23.99,9011990,13.99
4,"296-60 (1,2,3 y 4) Verde Jaspe",11.99,17.99,9008990,9.99
5,"169-65 (1,2,3,4,6,8,10,12 y 14) Kaqui",26.99,40.49,9021990,24.99
5,"926-13 (6,12,18,24 y 36 months) Cuadros/Multicolor",27.99,41.99,9022990,25.99
6,"169-64 (4,6,8,10,12 y 14) Azul Mezclilla",24.99,37.49,9019990,22.99
6,"932-57 (1,2,3,4,6 y 8) Rosa",23.99,35.99,9018990,21.99
7,"932-53 (1,2,3,4,6 y 8) Arena",23.99,35.99,9018990,21.99
7,"932-53 (1,2,3,4,6 y 8) Rojo",23.99,35.99,9018990,21.99
8,"932-53 (1,2,3,4,6 y 8) Arena",23.99,35.99,9018990,21.99
8,"932-53 (1,2,3,4,6 y 8) Rojo",23.99,35.99,9018990,21.99
8,"932-57 (1,2,3,4,6 y 8) Azul Marino",23.99,35.99,9018990,21.99
8,"932-57 (1,2,3,4,6 y 8) Rosa",23.99,35.99,9018990,21.99
9,"296-61 (4,6 y 8) Gris Multicolor",19.99,29.99,9015990,17.99
9,"993-15 (4,6 y 8) Negro Bicolor",27.99,41.99,9022990,25.99
10,"150-80 (4,6 y 8) Rosa Neón",17.99,26.99,9013990,15.99
11,"874-00 (1,2,3 y 4) Ivory/Negro",23.99,35.99,9018990,21.99
11,"978-09 (1,2,3,4,6 y 8) Azul Marino",26.99,40.49,9021990,24.99
11,"978-10 (1,2 y 3) Blanco Multicolor",23.99,35.99,9018990,21.99
11,"978-14 (4,6 y 8) Blanco Multicolor",24.99,37.49,9019990,22.99
13,"238-83 (4,6 y 8) Rayas Multicolor",24.99,37.49,9019990,22.99
14,"885-04 (4,6,8,10,12 y 14) Azul Mezclilla",26.99,40.49,9021990,24.99
14,"974-11 (1,2,3 y 4) Rayas/Marino",14.99,22.49,9010990,12.99
16,"680-60 (1,2,3 y 4) Azul Marino",29.99,44.99,9023990,27.99
16,"986-19 (1,2,3 y 4) Rosa/Blanco",30.99,46.49,9024990,28.99
16,"914-06 (6,8,10,12 y 14) Negro",17.99,26.99,9013990,15.99
16,"932-74 (1,2,3,4,6,8,10,12 y 14) Coral",17.99,26.99,9013990,15.99
17,"238-82 (1,2,3,4,6 y 8) Negro",15.99,23.99,9011990,13.99
17,"238-84 (10,12 y 14) Negro",18.99,28.49,9014990,16.99
17,"993-12 (4,6,8 y 10) Ivory/Coral",17.99,26.99,9013990,15.99
18,"169-63 (4,6,8,10,12 y 14) Azul Mezclilla",26.99,40.49,9021990,24.99
18,"243-26 (1,2,3,4,6,8,10,12 y 14) Gris/Azul Marino",19.99,29.99,9015990,17.99
18,"850-12 (4,6 y 8) Coral",16.99,25.49,9012990,14.99
19,"750-01 (6,8,10,12 y 14) Gris/Rosa",29.99,44.99,9023990,27.99
20,"932-68 (1,2,3 y 4) Mezclilla",16.99,25.49,9012990,14.99
20,"932-74 (1,2,3,4,6,8,10,12 y 14) Coral",17.99,26.99,9013990,15.99
21,"914-06 (6,8,10,12 y 14) Negro",18.99,28.49,9014990,16.99
21,"932-72 (6,8,10,12 y 14) Gris",23.99,35.99,9018990,21.99
22,"150-82 (4,6 y 8) Ivory/Puntos",15.99,23.99,9011990,13.99
22,"978-11 (4,6,8 y 10) Rojo",26.99,40.49,9021990,24.99
23,"200-57 (6,8,10,12 y 14) Palo de Rosa",19.99,29.99,9015990,17.99
23,"929-37 (6M,1,2,3,4,6,8,10,12 y 14) Mezclilla",17.99,26.99,9013990,15.99
24,"238-85 (1,2,3,4,6 y 8) Blanco",11.99,17.99,9008990,9.99
24,"993-14 (6,8,10,12 y 14) Arena Multicolor",26.99,40.49,9021990,24.99
24,"929-38 (1,2,3,4,6,8,10,12 y 14) Palo de Rosa",16.99,25.49,9012990,14.99
25,"926-12 (6,8,10,12 y 14) Rojo/Azul",25.99,38.99,9020990,23.99
25,"978-13 (1,2,3,4 y 6) Azul Jaspe ",27.99,41.99,9022990,25.99
25,"978-15 (8,10,12 y 14) Azul Jaspe",32.99,49.49,9026990,30.99
26,"169-65 (1,2,3,4,6,8,10,12 y 14) Kaqui",26.99,40.49,9021990,24.99
26,"992-17 (6,8,10,12 y 14) Tinto",19.99,29.99,9015990,17.99
27,"978-08 (1,2,3,4 y 6) Azul Rey",21.99,32.99,9016990,19.99
27,"978-16 (8,10,12 y 14) Azul Rey",26.99,40.49,9021990,24.99
28,"001-17 (6,8,10,12 y 14) Naranja",21.99,32.99,9016990,19.99
28,"930-90 (6,8,10,12 y 14) Rojo/Estampado",17.99,26.99,9013990,15.99
29,"150-81 (6,8,10,12 y 14) Multicolor",15.99,23.99,9011990,13.99
29,"273-76 (6,8,10,12 y 14) Azul Marino",29.99,44.99,9023990,27.99
30,"228-27 (6,8,10,12 y 14) Azul Mezclilla",30.99,46.49,9024990,28.99
31,"238-81 (1,2,3,4,6 y 8) Rosa Multicolor",15.99,23.99,9011990,13.99
31,"993-13 (6,8,10,12 y 14) Ivory",23.99,35.99,9018990,21.99
31,"932-71 (6,8,10,12 y 14) Gris Claro",16.99,25.49,9012990,14.99
32,"238-80 (1,2,3,4,6 y 8) Rosa",15.99,23.99,9011990,13.99
32,"356-19 (6,8,10,12 y 14) Azul Mezclilla",26.99,40.49,9021990,24.99
32,"993-10 (6,8,10,12 y 14) Ivory/Estampado",17.99,26.99,9013990,15.99
33,"510-13 (6,8,10,12 y 14) Palo de Rosa",15.99,23.99,9011990,13.99
33,"978-07 (6,8,10,12 y 14) Negro",25.99,38.99,9020990,23.99
34,"288-27 (6,8,10,12 y 14) Azul Marino",17.99,26.99,9013990,15.99
34,"993-11 (6,8,10,12 y 14) Ivory/Azul",17.99,26.99,9013990,15.99
35,"001-01 (10,12 y 14) Café",29.99,44.99,9023990,27.99
35,"169-63 (4,6,8,10,12 y 14) Azul Mezclilla",26.99,40.49,9021990,24.99
35,"500-50 (10,12 y 14) Ivory",26.99,40.49,9021990,24.99
36,"169-64 (4,6,8,10,12 y 14) Azul Mezclilla",24.99,37.49,9019990,22.99
36,"510-12 (10,12 y 14) Verde",22.99,34.49,9017990,20.99
36,"993-09 (10,12 y 14) Rosa",17.99,26.99,9013990,15.99
37,"001-00 (10,12 y 14) Durazno",30.99,46.49,9024990,28.99
37,001-19 One Size Ivory,9.99,14.99,9006990,7.99
37,001-19 One Size Camel,9.99,14.99,9006990,7.99
37,001-20 One Size Fiusha,9.99,14.99,9006990,7.99
38,"914-06 (6,8,10,12 y 14) Negro",18.99,28.49,9014990,16.99
38,"929-37 (6M,1,2,3,4,6,8,10,12 y 14) Mezclilla",17.99,26.99,9013990,15.99
38,"929-38 (1,2,3,4,6,8,10,12 y 14) Palo de Rosa",17.99,26.99,9013990,15.99
38,"932-74 (1,2,3,4,6,8,10,12 y 14) Coral",16.99,25.49,9012990,14.99
38,"929-38 (1,2,3,4,6,8,10,12 y 14) Arena",16.99,25.49,9012990,14.99
38,"929-38 (1,2,3,4,6,8,10,12 y 14) Gris",16.99,25.49,9012990,14.99
38,"929-38 (1,2,3,4,6,8,10,12 y 14) Negro",16.99,25.49,9012990,14.99
38,"929-38 (1,2,3,4,6,8,10,12 y 14) Azul Marino",16.99,25.49,9012990,14.99
39,"885-04 (4,6,8,10,12 y 14) Azul Mezclilla",26.99,40.49,9021990,24.99
39,"986-18 (1,2,3,4,6,8,10,12 y 14) Azul Mezclilla/Tinto",29.99,44.99,9023990,27.99
40,"926-12 (4,6,8,10,12 y 14) Rojo/Azul",25.99,38.99,9020990,23.99
40,"450-10 (1,2,3,4,6,8,10,12 y 14) Azul Mezclilla",26.99,40.49,9021990,24.99
41,"243-27 (6,8,10,12 y 14) Rojo",13.99,20.99,9009990,11.99
41,"974-12 (1,2,3 y 4) Negro",9.99,14.99,9006990,7.99
41,"974-13 (6,8,10,12 y 14) Negro",9.99,14.99,9006990,7.99
42,"974-10 (6,8,10,12 y 14) Aqua/Marino",13.99,20.99,9009990,11.99
42,"974-14 (1,2,3 y 4) Rayas Multicolor",11.99,17.99,9008990,9.99
42,"974-15 (6,8,10,12 y 14) Rayas Multicolor",13.99,20.99,9009990,11.99
